"","Month","Hours watched (mins)","Average viewers","Peak viewers","Average channels","Peak channels","Hours streamed (mins)","Games streamed","Active affiliates","Active partners"
"1","July 2022","113837765520","2553561","4500502","94546","133741","4214904240","43566","1015585","35441"
"2","June 2022","110090373480","2551932","6707070","90773","143573","3915966660","42096","987627","35329"
"3","May 2022","113644504500","2549226","5235525","88227","131999","3933191820","42653","983471","35335"
"4","April 2022","112187657280","2600548","5033040","94164","140048","4062253740","42107","998125","35438"
"5","March 2022","116073008220","2603701","4815581","97461","144086","4344850800","41071","1015804","35453"
"6","February 2022","119008627800","2956001","5455266","103548","145473","4168873980","40713","1034208","35300"
"7","January 2022","129746817660","2910426","5674002","102254","142590","4558511940","41348","1060139","34922"
"8","December 2021","112344039660","2520054","5014457","90731","211862","4044808680","35577","964734","34188"
"9","November 2021","108727049040","2520330","5969595","90774","144557","3915996360","35043","949967","34217"
"10","October 2021","121211877180","2718974","6170643","91858","141453","4095032760","36406","961760","34303"
"11","September 2021","111450871860","2583469","5630216","95513","207789","4120457520","35861","980194","34054"
"12","August 2021","118475176500","2657585","4778502","100701","191286","4489258920","36471","995101","33593"
"13","July 2021","117234052440","2629745","4415373","101755","146214","4536243660","36319","994922","33604"
"14","June 2021","117817815960","2731057","5775498","101892","155807","4395651720","36099","989125","33406"
"15","May 2021","138497717820","3106723","5835026","110484","184526","4925397840","36960","1023396","33573"
"16","April 2021","134281096860","3112681","6291115","115812","201427","4996162380","36196","1031363","33139"
"17","March 2021","130899244200","2936277","5270336","117123","199194","5221385160","35759","1002514","31941"
"18","February 2021","118774917660","2950196","5274617","122763","200990","4942468860","34594","946137","30493"
"19","January 2021","130427650080","2925698","6516666","119448","199531","5324994120","34551","921703","29851"
"20","December 2020","112639159020","2526674","4860624","107006","234592","4770330540","32840","926432","30467"
"21","November 2020","107354111760","2488505","4380326","103929","185349","4483535280","32479","792370","28936"
"22","October 2020","106448715000","2387813","4208725","95170","159332","4242691740","31922","749312","28021"
"23","September 2020","95130670860","2205161","4816995","91978","143560","3967939800","29190","701911","27250"
"24","August 2020","97240940700","2181268","3861619","96421","145226","4298487660","25714","671735","26591"
"25","July 2020","94355748900","2116548","3965956","95781","140066","4269921900","25485","629933","25770"
"26","June 2020","97756975620","2266040","6060464","94052","201269","4057423200","24780","606251","25353"
"27","May 2020","105345623280","2363069","4043730","100486","157531","4479707340","25396","584589","24935"
"28","April 2020","107538546780","2492780","4455065","93867","163527","4049443920","24646","526962","24120"
"29","March 2020","73102205160","1639798","3402641","66090","132155","2946308340","22872","467421","22860"
"30","February 2020","58905128940","1412593","2630587","53882","84232","2246905740","20748","410175","21062"
"31","January 2020","60600613860","1359367","2400513","52875","87265","2357211840","21249","408057","20644"
"32","December 2019","52889860200","1186403","2692333","45688","89991","2036781420","20515","383684","20457"
"33","November 2019","52749455400","1222750","2906707","45655","76073","1969557540","20248","375245","20572"
"34","October 2019","54020052600","1211755","2993052","45185","84281","2014388400","19904","380022","20620"
"35","September 2019","52684999860","1221256","2817054","46242","74389","1994881860","19869","371133","20320"
"36","August 2019","59950643880","1344787","2563475","48508","71411","2162494680","20421","369125","20069"
"37","July 2019","55001548680","1233771","2933491","48111","94810","2144822880","20106","358173","19689"
"38","June 2019","56347603200","1306156","3496976","47953","71693","2068700100","20209","346668","19803"
